token,count,frequencyPer100Comment,frequencyPer100Token
terrorist,5,0.2926,0.0176
teach,5,0.2926,0.0176
syria,5,0.2926,0.0176
double,5,0.2926,0.0176
build,5,0.2926,0.0176
won’t,5,0.2926,0.0176
didn’t,5,0.2926,0.0176
create,5,0.2926,0.0176
political,5,0.2926,0.0176
fund,5,0.2926,0.0176
races,5,0.2926,0.0176
lives,5,0.2926,0.0176
9,5,0.2926,0.0176
spent,5,0.2926,0.0176
kelly,5,0.2926,0.0176
organization,5,0.2926,0.0176
majority,5,0.2926,0.0176
delusional,5,0.2926,0.0176
extremely,5,0.2926,0.0176
apparently,5,0.2926,0.0176
uk,5,0.2926,0.0176
helping,5,0.2926,0.0176
try,5,0.2926,0.0176
mediterranean,5,0.2926,0.0176
picked,5,0.2926,0.0176
loser,5,0.2926,0.0176
30,5,0.2926,0.0176
regulations,5,0.2926,0.0176
presidents,5,0.2926,0.0176
oval,5,0.2926,0.0176
pretty,5,0.2926,0.0176
lock,5,0.2926,0.0176
serial,5,0.2926,0.0176
willing,5,0.2926,0.0176
presidential,5,0.2926,0.0176
isn’t,5,0.2926,0.0176
matt,5,0.2926,0.0176
shut,5,0.2926,0.0176
conservatives,5,0.2926,0.0176
times,5,0.2926,0.0176
nurani,5,0.2926,0.0176
intelligence,5,0.2926,0.0176
dementia,5,0.2926,0.0176
able,5,0.2926,0.0176
pure,5,0.2926,0.0176
ones,5,0.2926,0.0176
stuff,5,0.2926,0.0176
drug,5,0.2926,0.0176
quit,5,0.2926,0.0176
bull,5,0.2926,0.0176
2016,5,0.2926,0.0176
hair,5,0.2926,0.0176
washington,5,0.2926,0.0176
nuke,5,0.2926,0.0176
compared,5,0.2926,0.0176
book,5,0.2926,0.0176
consider,4,0.2341,0.0141
stinks,4,0.2341,0.0141
tweet,4,0.2341,0.0141
school,4,0.2341,0.0141
integrity,4,0.2341,0.0141
agreement,4,0.2341,0.0141
leaves,4,0.2341,0.0141
paris,4,0.2341,0.0141
campaign,4,0.2341,0.0141
highly,4,0.2341,0.0141
total,4,0.2341,0.0141
plot,4,0.2341,0.0141
phone,4,0.2341,0.0141
hold,4,0.2341,0.0141
example,4,0.2341,0.0141
“,4,0.2341,0.0141
nuts,4,0.2341,0.0141
nigerian,4,0.2341,0.0141
forgot,4,0.2341,0.0141
smh,4,0.2341,0.0141
muller,4,0.2341,0.0141
days,4,0.2341,0.0141
needed,4,0.2341,0.0141
dogs,4,0.2341,0.0141
endure,4,0.2341,0.0141
anybody,4,0.2341,0.0141
canaan,4,0.2341,0.0141
folks,4,0.2341,0.0141
