token,count,frequencyPer100Comment,frequencyPer100Token
fuck,16,0.7136,0.0873
sorry,15,0.6690,0.0818
mi,15,0.6690,0.0818
got,15,0.6690,0.0818
youre,15,0.6690,0.0818
email,15,0.6690,0.0818
help,15,0.6690,0.0818
let,15,0.6690,0.0818
hope,15,0.6690,0.0818
ver,14,0.6244,0.0764
heart,14,0.6244,0.0764
amo,14,0.6244,0.0764
😍,14,0.6244,0.0764
ur,14,0.6244,0.0764
try,14,0.6244,0.0764
lo,14,0.6244,0.0764
hi,14,0.6244,0.0764
❤️,13,0.5798,0.0709
shit,13,0.5798,0.0709
friend,13,0.5798,0.0709
nativetemplates,13,0.5798,0.0709
husband,13,0.5798,0.0709
prophet,13,0.5798,0.0709
id,12,0.5352,0.0655
ella,12,0.5352,0.0655
address,12,0.5352,0.0655
mas,12,0.5352,0.0655
going,12,0.5352,0.0655
lol,12,0.5352,0.0655
bless,12,0.5352,0.0655
feel,12,0.5352,0.0655
para,12,0.5352,0.0655
illuminati,12,0.5352,0.0655
testified,12,0.5352,0.0655
lot,12,0.5352,0.0655
face,12,0.5352,0.0655
spell,12,0.5352,0.0655
end,11,0.4906,0.0600
bad,11,0.4906,0.0600
eres,11,0.4906,0.0600
plz,11,0.4906,0.0600
si,11,0.4906,0.0600
moms,11,0.4906,0.0600
looking,11,0.4906,0.0600
real,11,0.4906,0.0600
woman,11,0.4906,0.0600
yo,11,0.4906,0.0600
knoe,11,0.4906,0.0600
d,11,0.4906,0.0600
❤❤❤❤,11,0.4906,0.0600
😍😍😍,11,0.4906,0.0600
fetish,11,0.4906,0.0600
1,11,0.4906,0.0600
shes,11,0.4906,0.0600
message,10,0.4460,0.0545
news,10,0.4460,0.0545
things,10,0.4460,0.0545
😍😍,10,0.4460,0.0545
o,10,0.4460,0.0545
way,10,0.4460,0.0545
check,10,0.4460,0.0545
year,10,0.4460,0.0545
thing,10,0.4460,0.0545
por,10,0.4460,0.0545
instagram,10,0.4460,0.0545
turkey,10,0.4460,0.0545
click,10,0.4460,0.0545
fuk,10,0.4460,0.0545
magic,10,0.4460,0.0545
didnt,10,0.4460,0.0545
brazil,10,0.4460,0.0545
cute,10,0.4460,0.0545
join,9,0.4014,0.0491
caster,9,0.4014,0.0491
away,9,0.4014,0.0491
adele,9,0.4014,0.0491
voice,9,0.4014,0.0491
selenator,9,0.4014,0.0491
thanks,9,0.4014,0.0491
yes,9,0.4014,0.0491
pagina,9,0.4014,0.0491
p,9,0.4014,0.0491
today,9,0.4014,0.0491
maybe,9,0.4014,0.0491
2,9,0.4014,0.0491
r,9,0.4014,0.0491
tube,9,0.4014,0.0491
mp3,9,0.4014,0.0491
httpswwwyoutubecomwatchvuwyaml8gfi,9,0.4014,0.0491
fagbemi,9,0.4014,0.0491
believe,9,0.4014,0.0491
sel,9,0.4014,0.0491
c,9,0.4014,0.0491
person,9,0.4014,0.0491
jesus,9,0.4014,0.0491
brought,9,0.4014,0.0491
friends,9,0.4014,0.0491
sobre,8,0.3568,0.0436
kids,8,0.3568,0.0436
word,8,0.3568,0.0436
ther,8,0.3568,0.0436
mean,8,0.3568,0.0436
omg,8,0.3568,0.0436
comwatchvqtb11p1fwnc,8,0.3568,0.0436
old,8,0.3568,0.0436
years,8,0.3568,0.0436
ex,8,0.3568,0.0436
care,8,0.3568,0.0436
xx,8,0.3568,0.0436
brasil,8,0.3568,0.0436
tu,8,0.3568,0.0436
fashion,8,0.3568,0.0436
pray,8,0.3568,0.0436
7,8,0.3568,0.0436
hit,8,0.3568,0.0436
ytube,8,0.3568,0.0436
stop,8,0.3568,0.0436
perfect,8,0.3568,0.0436
2016,8,0.3568,0.0436
loved,8,0.3568,0.0436
words,8,0.3568,0.0436
member,8,0.3568,0.0436
wish,8,0.3568,0.0436
inspiration,8,0.3568,0.0436
curtam,7,0.3122,0.0382
enjoy,7,0.3122,0.0382
work,7,0.3122,0.0382
enter,7,0.3122,0.0382
better,7,0.3122,0.0382
went,7,0.3122,0.0382
wanted,7,0.3122,0.0382
listen,7,0.3122,0.0382
m,7,0.3122,0.0382
came,7,0.3122,0.0382
httpswwwyoutubecomwatchvbw3tzjk0ce,7,0.3122,0.0382
super,7,0.3122,0.0382
true,7,0.3122,0.0382
daily,7,0.3122,0.0382
yall,7,0.3122,0.0382
says,7,0.3122,0.0382
thou,7,0.3122,0.0382
awesome,7,0.3122,0.0382
birthday,7,0.3122,0.0382
tomorrow,7,0.3122,0.0382
stupid,7,0.3122,0.0382
como,7,0.3122,0.0382
😍😍😍😍,7,0.3122,0.0382
ye,7,0.3122,0.0382
reason,7,0.3122,0.0382
long,7,0.3122,0.0382
link,7,0.3122,0.0382
called,7,0.3122,0.0382
send,7,0.3122,0.0382
❤,7,0.3122,0.0382
baby,7,0.3122,0.0382
meet,7,0.3122,0.0382
bieber,7,0.3122,0.0382
lover,7,0.3122,0.0382
shalt,7,0.3122,0.0382
works,7,0.3122,0.0382
hate,6,0.2676,0.0327
whatsoever,6,0.2676,0.0327
😊😍😘,6,0.2676,0.0327
quieres,6,0.2676,0.0327
itunes,6,0.2676,0.0327
india,6,0.2676,0.0327
é,6,0.2676,0.0327
girls,6,0.2676,0.0327
evil,6,0.2676,0.0327
este,6,0.2676,0.0327
seen,6,0.2676,0.0327
rich,6,0.2676,0.0327
men,6,0.2676,0.0327
met,6,0.2676,0.0327
website,6,0.2676,0.0327
n,6,0.2676,0.0327
vanessa,6,0.2676,0.0327
abel,6,0.2676,0.0327
interested,6,0.2676,0.0327
felt,6,0.2676,0.0327
particular,6,0.2676,0.0327
finally,6,0.2676,0.0327
crazy,6,0.2676,0.0327
su,6,0.2676,0.0327
😂😂,6,0.2676,0.0327
yeah,6,0.2676,0.0327
eu,6,0.2676,0.0327
💙,6,0.2676,0.0327
💋,6,0.2676,0.0327
online,6,0.2676,0.0327
channel,6,0.2676,0.0327
aint,6,0.2676,0.0327
je,6,0.2676,0.0327
jb,6,0.2676,0.0327
talented,6,0.2676,0.0327
gente,6,0.2676,0.0327
😘😘i,6,0.2676,0.0327
running,6,0.2676,0.0327
money,6,0.2676,0.0327
death,6,0.2676,0.0327
página,6,0.2676,0.0327
ok,6,0.2676,0.0327
videos,6,0.2676,0.0327
😍😘😊,6,0.2676,0.0327
tv,6,0.2676,0.0327
guna,6,0.2676,0.0327
ask,6,0.2676,0.0327
gorgeous,6,0.2676,0.0327
soon,6,0.2676,0.0327
button,6,0.2676,0.0327
todo,6,0.2676,0.0327
😂,6,0.2676,0.0327
rite,6,0.2676,0.0327
sexy,6,0.2676,0.0327
excited,6,0.2676,0.0327
emoticon,6,0.2676,0.0327
httpwwwpicpaycomconvitet7zm,6,0.2676,0.0327
private,6,0.2676,0.0327
memes,6,0.2676,0.0327
days,6,0.2676,0.0327
