token,count,frequencyPer100Comment,frequencyPer100Token
wouldve,9,0.3756,0.0203
ali,9,0.3756,0.0203
worst,9,0.3756,0.0203
known,9,0.3756,0.0203
glad,9,0.3756,0.0203
bruh,9,0.3756,0.0203
encore,9,0.3756,0.0203
feat,9,0.3756,0.0203
cole,9,0.3756,0.0203
kids,8,0.3339,0.0180
singer,8,0.3339,0.0180
came,8,0.3339,0.0180
rihanna,8,0.3339,0.0180
worked,8,0.3339,0.0180
haters,8,0.3339,0.0180
ignorant,8,0.3339,0.0180
course,8,0.3339,0.0180
future,8,0.3339,0.0180
saw,8,0.3339,0.0180
prime,8,0.3339,0.0180
industry,8,0.3339,0.0180
wayne,8,0.3339,0.0180
cry,8,0.3339,0.0180
couple,8,0.3339,0.0180
high,8,0.3339,0.0180
perfect,8,0.3339,0.0180
means,8,0.3339,0.0180
away,8,0.3339,0.0180
tho,8,0.3339,0.0180
live,8,0.3339,0.0180
james,8,0.3339,0.0180
joke,8,0.3339,0.0180
nowadays,8,0.3339,0.0180
🤔,8,0.3339,0.0180
ft,8,0.3339,0.0180
brogen,8,0.3339,0.0180
kapoor,8,0.3339,0.0180
quit,8,0.3339,0.0180
collabs,8,0.3339,0.0180
went,8,0.3339,0.0180
dog,8,0.3339,0.0180
definitely,8,0.3339,0.0180
puts,8,0.3339,0.0180
left,8,0.3339,0.0180
thank,8,0.3339,0.0180
living,8,0.3339,0.0180
question,8,0.3339,0.0180
mom,8,0.3339,0.0180
youve,8,0.3339,0.0180
believe,8,0.3339,0.0180
cuz,8,0.3339,0.0180
havent,8,0.3339,0.0180
calling,8,0.3339,0.0180
works,8,0.3339,0.0180
justin,8,0.3339,0.0180
pic,8,0.3339,0.0180
ambassadors,8,0.3339,0.0180
zach,8,0.3339,0.0180
writing,8,0.3339,0.0180
wear,8,0.3339,0.0180
icp,8,0.3339,0.0180
ruined,8,0.3339,0.0180
released,8,0.3339,0.0180
version,8,0.3339,0.0180
basically,8,0.3339,0.0180
reach,8,0.3339,0.0180
art,8,0.3339,0.0180
attention,8,0.3339,0.0180
whos,8,0.3339,0.0180
meaning,8,0.3339,0.0180
proof,8,0.3339,0.0180
honestly,8,0.3339,0.0180
