token,count,frequencyPer100Comment,frequencyPer100Token
al,10,0.2552,0.0389
coisa,10,0.2552,0.0389
worth,10,0.2552,0.0389
remember,10,0.2552,0.0389
cara,10,0.2552,0.0389
todo,10,0.2552,0.0389
miss,10,0.2552,0.0389
❤😍,10,0.2552,0.0389
sorry,10,0.2552,0.0389
m,10,0.2552,0.0389
dia,10,0.2552,0.0389
thank,10,0.2552,0.0389
♡,10,0.2552,0.0389
hate,10,0.2552,0.0389
phone,10,0.2552,0.0389
got,10,0.2552,0.0389
😍😍😍😍😍😍,10,0.2552,0.0389
1,10,0.2552,0.0389
costas,10,0.2552,0.0389
sua,10,0.2552,0.0389
aaaaa,10,0.2552,0.0389
beliebers,10,0.2552,0.0389
dois,9,0.2297,0.0351
cabelo,9,0.2297,0.0351
olha,9,0.2297,0.0351
wants,9,0.2297,0.0351
ti,9,0.2297,0.0351
ser,9,0.2297,0.0351
bb,9,0.2297,0.0351
try,9,0.2297,0.0351
isso,9,0.2297,0.0351
does,9,0.2297,0.0351
من,9,0.2297,0.0351
bro,9,0.2297,0.0351
padre,9,0.2297,0.0351
fight,9,0.2297,0.0351
guy,9,0.2297,0.0351
change,9,0.2297,0.0351
💔,9,0.2297,0.0351
💖,9,0.2297,0.0351
cuando,9,0.2297,0.0351
los,9,0.2297,0.0351
httpsyoutubeq1ihgdtplfw,9,0.2297,0.0351
orgulho,9,0.2297,0.0351
😍❤,9,0.2297,0.0351
mesmo,9,0.2297,0.0351
stop,9,0.2297,0.0351
una,9,0.2297,0.0351
making,9,0.2297,0.0351
stupid,9,0.2297,0.0351
hard,9,0.2297,0.0351
coisas,9,0.2297,0.0351
justine,9,0.2297,0.0351
❤❤❤❤❤,9,0.2297,0.0351
sogrão,9,0.2297,0.0351
É,9,0.2297,0.0351
fighting,9,0.2297,0.0351
uma,8,0.2042,0.0312
soo,8,0.2042,0.0312
ver,8,0.2042,0.0312
send,8,0.2042,0.0312
perfect,8,0.2042,0.0312
means,8,0.2042,0.0312
law,8,0.2042,0.0312
assim,8,0.2042,0.0312
comments,8,0.2042,0.0312
real,8,0.2042,0.0312
trying,8,0.2042,0.0312
videoshareyoutube,8,0.2042,0.0312
step,8,0.2042,0.0312
luv,8,0.2042,0.0312
better,8,0.2042,0.0312
enjoy,8,0.2042,0.0312
aaaaaa,8,0.2042,0.0312
long,8,0.2042,0.0312
b,8,0.2042,0.0312
mean,8,0.2042,0.0312
i’m,8,0.2042,0.0312
