token,count,frequencyPer100Comment,frequencyPer100Token
try,12,1.3072,0.0653
makes,12,1.3072,0.0653
heart,12,1.3072,0.0653
doing,12,1.3072,0.0653
could,12,1.3072,0.0653
bring,12,1.3072,0.0653
trumps,12,1.3072,0.0653
tired,11,1.1983,0.0599
talking,11,1.1983,0.0599
any,11,1.1983,0.0599
human,11,1.1983,0.0599
felt,11,1.1983,0.0599
may,11,1.1983,0.0599
year,11,1.1983,0.0599
album,11,1.1983,0.0599
power,11,1.1983,0.0599
oh,11,1.1983,0.0599
5,11,1.1983,0.0599
poor,11,1.1983,0.0599
family,11,1.1983,0.0599
dream,11,1.1983,0.0599
ya,11,1.1983,0.0599
issue,11,1.1983,0.0599
yall,11,1.1983,0.0599
jew,11,1.1983,0.0599
cry,11,1.1983,0.0599
look,11,1.1983,0.0599
having,11,1.1983,0.0599
dreams,11,1.1983,0.0599
ever,10,1.0893,0.0544
each,10,1.0893,0.0544
side,10,1.0893,0.0544
drugs,10,1.0893,0.0544
theyre,10,1.0893,0.0544
same,10,1.0893,0.0544
read,10,1.0893,0.0544
reason,10,1.0893,0.0544
last,10,1.0893,0.0544
he’s,10,1.0893,0.0544
light,10,1.0893,0.0544
brazil,10,1.0893,0.0544
under,9,0.9804,0.0490
hov,9,0.9804,0.0490
hood,9,0.9804,0.0490
sticker,9,0.9804,0.0490
matter,9,0.9804,0.0490
mind,9,0.9804,0.0490
rap,9,0.9804,0.0490
speak,9,0.9804,0.0490
yes,9,0.9804,0.0490
brother,9,0.9804,0.0490
yourself,9,0.9804,0.0490
working,9,0.9804,0.0490
car,9,0.9804,0.0490
pain,9,0.9804,0.0490
knew,9,0.9804,0.0490
show,9,0.9804,0.0490
killing,9,0.9804,0.0490
respect,9,0.9804,0.0490
politics,9,0.9804,0.0490
month,9,0.9804,0.0490
woman,9,0.9804,0.0490
actually,9,0.9804,0.0490
hard,9,0.9804,0.0490
blacks,9,0.9804,0.0490
since,9,0.9804,0.0490
members,9,0.9804,0.0490
done,9,0.9804,0.0490
famous,9,0.9804,0.0490
whole,9,0.9804,0.0490
point,9,0.9804,0.0490
young,9,0.9804,0.0490
opinion,9,0.9804,0.0490
usd,9,0.9804,0.0490
something,9,0.9804,0.0490
guys,9,0.9804,0.0490
system,9,0.9804,0.0490
ones,9,0.9804,0.0490
thought,9,0.9804,0.0490
hate,8,0.8715,0.0435
looking,8,0.8715,0.0435
school,8,0.8715,0.0435
work,8,0.8715,0.0435
keep,8,0.8715,0.0435
already,8,0.8715,0.0435
release,8,0.8715,0.0435
away,8,0.8715,0.0435
lover,8,0.8715,0.0435
wtf,8,0.8715,0.0435
against,8,0.8715,0.0435
old,8,0.8715,0.0435
interested,8,0.8715,0.0435
choice,8,0.8715,0.0435
minute,8,0.8715,0.0435
cool,8,0.8715,0.0435
soul,8,0.8715,0.0435
years,8,0.8715,0.0435
2,8,0.8715,0.0435
hillary,8,0.8715,0.0435
fame,8,0.8715,0.0435
different,8,0.8715,0.0435
without,8,0.8715,0.0435
experience,8,0.8715,0.0435
learn,8,0.8715,0.0435
coming,8,0.8715,0.0435
hell,8,0.8715,0.0435
beyonce,8,0.8715,0.0435
house,8,0.8715,0.0435
wilson,8,0.8715,0.0435
dumb,8,0.8715,0.0435
both,8,0.8715,0.0435
big,8,0.8715,0.0435
nice,8,0.8715,0.0435
issues,8,0.8715,0.0435
account,8,0.8715,0.0435
lo,8,0.8715,0.0435
choose,8,0.8715,0.0435
powerful,8,0.8715,0.0435
bitch,8,0.8715,0.0435
gets,8,0.8715,0.0435
spells,8,0.8715,0.0435
doctorrobertspellgmailcom,8,0.8715,0.0435
documentary,8,0.8715,0.0435
doesnt,8,0.8715,0.0435
j,8,0.8715,0.0435
hating,7,0.7625,0.0381
lord,7,0.7625,0.0381
enjoy,7,0.7625,0.0381
give,7,0.7625,0.0381
wrong,7,0.7625,0.0381
president,7,0.7625,0.0381
lost,7,0.7625,0.0381
financial,7,0.7625,0.0381
soundcloud,7,0.7625,0.0381
another,7,0.7625,0.0381
httpsyoutube9g6gqhhznko,7,0.7625,0.0381
de,7,0.7625,0.0381
men,7,0.7625,0.0381
ill,7,0.7625,0.0381
opportunity,7,0.7625,0.0381
total,7,0.7625,0.0381
dollars,7,0.7625,0.0381
until,7,0.7625,0.0381
heard,7,0.7625,0.0381
open,7,0.7625,0.0381
sam,7,0.7625,0.0381
proud,7,0.7625,0.0381
behind,7,0.7625,0.0381
artist,7,0.7625,0.0381
it’s,7,0.7625,0.0381
around,7,0.7625,0.0381
welcome,7,0.7625,0.0381
favorite,7,0.7625,0.0381
racist,7,0.7625,0.0381
enough,7,0.7625,0.0381
past,7,0.7625,0.0381
learned,7,0.7625,0.0381
american,7,0.7625,0.0381
feel,7,0.7625,0.0381
king,7,0.7625,0.0381
albums,7,0.7625,0.0381
sold,7,0.7625,0.0381
while,7,0.7625,0.0381
obviously,7,0.7625,0.0381
cut,7,0.7625,0.0381
fucking,7,0.7625,0.0381
strongest,7,0.7625,0.0381
aha,7,0.7625,0.0381
single,7,0.7625,0.0381
peace,7,0.7625,0.0381
facebook,7,0.7625,0.0381
video,7,0.7625,0.0381
find,7,0.7625,0.0381
let,7,0.7625,0.0381
didnt,7,0.7625,0.0381
jessica,7,0.7625,0.0381
fact,7,0.7625,0.0381
words,7,0.7625,0.0381
equal,7,0.7625,0.0381
relevant,7,0.7625,0.0381
crack,7,0.7625,0.0381
whatever,7,0.7625,0.0381
buy,7,0.7625,0.0381
wish,7,0.7625,0.0381
oppression,7,0.7625,0.0381
successful,6,0.6536,0.0326
must,6,0.6536,0.0326
turn,6,0.6536,0.0326
order,6,0.6536,0.0326
bank,6,0.6536,0.0326
message,6,0.6536,0.0326
given,6,0.6536,0.0326
took,6,0.6536,0.0326
seen,6,0.6536,0.0326
organization,6,0.6536,0.0326
doesn’t,6,0.6536,0.0326
solutions,6,0.6536,0.0326
prison,6,0.6536,0.0326
payment,6,0.6536,0.0326
support,6,0.6536,0.0326
week,6,0.6536,0.0326
dear,6,0.6536,0.0326
guy,6,0.6536,0.0326
vimeocom226705184,6,0.6536,0.0326
tidal,6,0.6536,0.0326
prove,6,0.6536,0.0326
dude,6,0.6536,0.0326
remember,6,0.6536,0.0326
african,6,0.6536,0.0326
kanye,6,0.6536,0.0326
half,6,0.6536,0.0326
million,6,0.6536,0.0326
sounds,6,0.6536,0.0326
future,6,0.6536,0.0326
httpwwwebaycoukitmjayzgold67ozaftershavebalm182470331095sspagenamestrkmeseit,6,0.6536,0.0326
mark,6,0.6536,0.0326
thinking,6,0.6536,0.0326
fully,6,0.6536,0.0326
weve,6,0.6536,0.0326
ok,6,0.6536,0.0326
deep,6,0.6536,0.0326
follow,6,0.6536,0.0326
meditation,6,0.6536,0.0326
ask,6,0.6536,0.0326
two,6,0.6536,0.0326
rather,6,0.6536,0.0326
benefits,6,0.6536,0.0326
selling,6,0.6536,0.0326
wasnt,6,0.6536,0.0326
sell,6,0.6536,0.0326
don’t,6,0.6536,0.0326
probably,6,0.6536,0.0326
lived,6,0.6536,0.0326
else,6,0.6536,0.0326
theres,6,0.6536,0.0326
game,6,0.6536,0.0326
cast,6,0.6536,0.0326
clinton,6,0.6536,0.0326
others,6,0.6536,0.0326
use,6,0.6536,0.0326
crap,6,0.6536,0.0326
start,6,0.6536,0.0326
high,6,0.6536,0.0326
produced,6,0.6536,0.0326
looks,6,0.6536,0.0326
cause,6,0.6536,0.0326
hope,6,0.6536,0.0326
rapper,6,0.6536,0.0326
bought,6,0.6536,0.0326
etc,6,0.6536,0.0326
comment,6,0.6536,0.0326
almost,6,0.6536,0.0326
friends,6,0.6536,0.0326
relationships,5,0.5447,0.0272
solution,5,0.5447,0.0272
leaders,5,0.5447,0.0272
mr,5,0.5447,0.0272
end,5,0.5447,0.0272
chase,5,0.5447,0.0272
billion,5,0.5447,0.0272
days,5,0.5447,0.0272
rappers,5,0.5447,0.0272
came,5,0.5447,0.0272
saying,5,0.5447,0.0272
httpswwwyoutubecomwatchv5eolfrgpjfa,5,0.5447,0.0272
13th,5,0.5447,0.0272
gave,5,0.5447,0.0272
judge,5,0.5447,0.0272
desire,5,0.5447,0.0272
bro,5,0.5447,0.0272
comments,5,0.5447,0.0272
hear,5,0.5447,0.0272
true,5,0.5447,0.0272
np,5,0.5447,0.0272
billionaire,5,0.5447,0.0272
level,5,0.5447,0.0272
says,5,0.5447,0.0272
muslim,5,0.5447,0.0272
angry,5,0.5447,0.0272
agent,5,0.5447,0.0272
mad,5,0.5447,0.0272
maybe,5,0.5447,0.0272
course,5,0.5447,0.0272
killed,5,0.5447,0.0272
shawn,5,0.5447,0.0272
conspiracy,5,0.5447,0.0272
clintons,5,0.5447,0.0272
aint,5,0.5447,0.0272
morning,5,0.5447,0.0272
comes,5,0.5447,0.0272
color,5,0.5447,0.0272
case,5,0.5447,0.0272
cash,5,0.5447,0.0272
worry,5,0.5447,0.0272
pay,5,0.5447,0.0272
lets,5,0.5447,0.0272
slavery,5,0.5447,0.0272
blessed,5,0.5447,0.0272
agree,5,0.5447,0.0272
important,5,0.5447,0.0272
public,5,0.5447,0.0272
bible,5,0.5447,0.0272
takes,5,0.5447,0.0272
media,5,0.5447,0.0272
playing,5,0.5447,0.0272
call,5,0.5447,0.0272
miss,5,0.5447,0.0272
story,5,0.5447,0.0272
least,5,0.5447,0.0272
obama,5,0.5447,0.0272
marriage,5,0.5447,0.0272
won,5,0.5447,0.0272
monthly,5,0.5447,0.0272
peoples,5,0.5447,0.0272
crying,5,0.5447,0.0272
couple,5,0.5447,0.0272
